country_code,year,n_regions,mean_network,std_network,mean_elec,std_elec,cv_network,cv_elec
ES,1996,19,646.5263157894736,678.5711596534665,360.8421052631579,411.60677879607033,1.049564639646358,1.1406838968969275
NO,2020,6,646.8333333333334,218.11686470024887,409.3333333333333,303.9918858566239,0.3372072115953345,0.7426511869461497
SE,2016,8,1360.375,517.5218249366053,1023.0,405.9936663826877,0.3804258567943437,0.3968657540397729
HU,2003,6,1155.0,256.2748524533767,366.8333333333333,53.920002472799155,0.22188298913712268,0.1469877395896388
FR,2003,25,1247.12,706.8178289583062,577.0,450.02342531620883,0.5667600783872493,0.7799366123331175
IT,2009,20,831.3,530.1528180876867,659.6666666666666,410.20640428648494,0.6377394660022696,0.6218389150376225
NO,2011,3,711.0,239.19239118333175,229.66666666666666,220.52966542697456,0.3364168652367535,0.960216250044882
AL,2017,3,,,0.0,0.0,,
AT,1992,9,617.1111111111111,623.7800983608817,356.8888888888889,256.79050043004145,1.0108067852444969,0.7195250634714735
BG,2022,6,671.5,131.72357419991306,500.8333333333333,110.81591341800448,0.1961631782575027,0.2212630550775464
FR,1998,25,1278.24,711.2107798208161,564.6,439.23731247090865,0.5563984696307549,0.7779619420313649
NL,2015,12,252.66666666666666,151.34447963223343,191.83333333333334,141.06338570968296,0.5989887056684701,0.7353434528741075
RO,2005,8,1368.5,518.9384769480317,499.875,144.23635117403657,0.37920239455464505,0.28854483855771257
RO,2017,8,1346.75,522.3391755226812,503.75,157.1493829813804,0.3878516246687813,0.3119590729158916
HU,2010,6,1097.8333333333333,224.33494303533425,368.8333333333333,43.682567079633344,0.20434335178563923,0.11843443401617718
CZ,2010,8,1196.125,536.1000539611452,401.125,164.41014697570046,0.44819734890679924,0.40987260074964277
HU,2002,6,1155.0,256.2748524533767,366.8333333333333,53.920002472799155,0.22188298913712268,0.1469877395896388
DE,2020,9,1280.7777777777778,940.6853588976734,666.6666666666666,503.95560320329804,0.7344641476601943,0.7559334048049471
FI,2021,4,1479.5,1074.0218805964803,839.75,456.15156472383165,0.7259357084126261,0.5431992434936965
FR,2007,25,1253.96,703.012949145794,604.16,467.27906365825265,0.5606342699494353,0.7734359501758684
NO,2014,3,708.0,238.90583919192935,228.33333333333334,222.43500923490737,0.3374376259773013,0.9741679236565286
BG,2011,6,678.6666666666666,138.95562840945544,477.0,116.75958204789875,0.2047479789923214,0.2447789980039806
HU,2018,8,930.125,405.1131896502154,383.625,133.4615380656807,0.435547039000366,0.34789583073491226
SE,1993,6,1359.8333333333333,625.653072130767,915.8333333333334,442.9250124644878,0.46009540786672415,0.4836305868584034
IT,1998,19,767.6315789473684,529.3465794444984,490.5263157894737,383.03646017652346,0.6895841624576942,0.7808683201023546
UA,2022,24,823.875,310.22212413744415,425.3181818181818,340.6200769134679,0.3765402811560542,0.8008594305970177
EL,1995,13,190.30769230769232,188.0467072366972,0.0,0.0,0.9881193185436796,
IT,2012,20,833.9,533.0855466057957,662.1111111111111,413.42740864899395,0.6392679537184263,0.624407900292154
AT,1990,9,619.4444444444445,627.959614766569,,,1.0137464633002906,
CZ,2000,8,1180.5,518.7303180431454,,,0.43941577131990295,
CZ,2006,8,1199.625,535.0126667392358,,,0.44598325871771244,
FI,2023,4,1478.75,1073.6959144313937,856.0,452.0582558328812,0.7260834586180177,0.5281054390571042
BE,1992,11,312.0,124.85271322642532,208.27272727272728,96.3183169590197,0.4001689526487991,0.46246245593593044
BG,2013,6,672.0,136.6996708116007,478.1666666666667,113.84097094924422,0.2034221291839296,0.2380780152302075
EL,2003,13,185.6153846153846,184.63095553993577,6.3076923076923075,22.742708045234394,0.994696403654855,3.6055512754639896
ES,2011,19,838.578947368421,802.0210107935989,506.05263157894734,531.2641604579916,0.9564048958186392,1.049819973863946
ES,2022,19,864.2631578947369,855.8368122035924,563.1578947368421,601.0104697884402,0.9902502546658702,1.067214852895361
IT,2013,20,834.3,533.2865429036301,664.0555555555555,412.1131301307249,0.6392023767273525,0.6206003800178239
IT,2014,20,832.9,532.3975463583778,662.3888888888889,411.359602078549,0.6392094445412148,0.621024309101223
EL,2006,13,193.0,186.5694687419854,8.153846153846153,24.034163718361942,0.9666811851916342,2.94758611640288
EL,1991,13,191.07692307692307,187.91862668828298,0.0,0.0,0.9834710736504344,
IT,2010,20,832.4,530.9357578345692,626.0526315789474,426.7145121199901,0.6378372871631058,0.681595269464465
FR,2012,25,1183.52,667.5260993649111,644.64,468.5243572465933,0.5640175910545755,0.7268000081387958
TR,2012,26,370.84615384615387,249.1204836712858,109.23076923076923,161.84222136199384,0.6717623496632887,1.481654139229521
PL,2009,15,1239.6,441.92869495945996,702.9333333333333,411.27006536662344,0.3565091117775573,0.5850769139320326
ES,2008,19,818.421052631579,780.8768088778633,479.7894736842105,504.9579277246073,0.9541260044166818,1.0524572868327708
FI,2018,4,1481.5,1074.4352004658076,832.75,454.33201882910845,0.7252346948807341,0.5455803288251078
HU,2001,6,1154.3333333333333,256.94409249225146,356.5,70.23318304049731,0.22259089733663137,0.197007526060301
RO,1991,8,1420.625,536.792840462155,460.0,191.98660667571878,0.3778568168673331,0.4173621884254756
RO,2021,8,1345.5,518.9805941871596,504.375,158.22040458983608,0.3857157890651502,0.31369596944701084
SK,2004,4,915.25,450.8838542241228,389.0,188.00531907369003,0.49263463996080065,0.483304162143162
EL,1992,13,191.07692307692307,188.9852117399937,0.0,0.0,0.9890530405072134,
IE,2019,3,560.0,172.71074083565273,53.0,,0.3084120372065227,
IT,2003,19,762.2105263157895,523.7848984870038,513.6315789473684,394.5315380333035,0.6871918983050044,0.7681216541277555
IT,2004,20,793.2,489.44367989532117,580.9473684210526,371.6591140763581,0.6170495207959167,0.6397466178158003
TR,2011,26,370.84615384615387,249.1204836712858,107.26923076923077,160.02163795994784,0.6717623496632887,1.4917757572458386
CZ,2013,8,1195.125,535.6975259283117,402.0,163.18175668341638,0.4482355619105213,0.40592476786919496
DE,2018,9,1235.888888888889,951.5706022734788,,,0.7699483431143854,
ES,1997,19,647.1578947368421,686.0790578965449,365.05263157894734,411.7722501151726,1.060141680224004,1.1279805006038466
PL,2019,15,1178.3333333333333,385.6002124085564,708.8,401.3563076797046,0.3272420473057056,0.5662476124149332
IT,1996,19,764.6842105263158,527.5611657672796,483.4736842105263,372.57830920657216,0.6899072303378286,0.7706278984242185
EL,1996,13,190.30769230769232,188.0467072366972,0.0,0.0,0.9881193185436796,
FR,1992,25,1307.36,731.3928424588252,517.56,425.76197184185753,0.55944257316946,0.8226330702563134
IT,2017,20,835.3,537.6495728240604,666.9444444444445,419.7413029925796,0.64366044872987,0.6293497254366042
PL,2017,15,1166.4,394.17088389971894,696.1333333333333,397.4214867055355,0.3379380005998962,0.5708985156658717
SE,2014,8,1360.125,500.649132198817,1029.125,394.74745543376036,0.3680905300607054,0.3835758099684298
ES,1999,19,647.8947368421053,681.6042265401726,366.3157894736842,411.44853230609795,1.0520292692334101,1.1232072002608995
SK,2018,4,906.75,450.4615225891478,396.75,188.75447014574252,0.4967869011184426,0.4757516575822118
NO,2008,3,711.0,239.19239118333175,229.66666666666666,220.52966542697456,0.3364168652367535,0.960216250044882
ES,1998,19,647.1578947368421,686.0790578965449,365.7894736842105,410.865830891487,1.060141680224004,1.1232303290558638
IT,2011,20,833.05,531.6506049930478,626.9473684210526,427.38695369317776,0.6381977132141502,0.6816951074689706
PT,2016,5,509.2,314.7271834462349,328.0,242.39224410034245,0.6180816642699036,0.7390007442083611
BG,2004,6,709.8333333333334,136.90495486528846,475.6666666666667,129.27283808544883,0.19286915454137843,0.2717719090794299
NO,2016,3,706.3333333333334,236.54668320087123,226.66666666666666,219.66413756763606,0.33489384124710414,0.9691064892689827
DE,2017,9,1228.0,948.2937308661278,,,0.7722261652004299,
IE,2021,3,560.0,172.71074083565273,53.0,,0.3084120372065227,
FR,2001,25,1262.76,720.1460662023134,577.04,450.0322655099299,0.5702952787563064,0.7798978675827152
HU,2017,8,930.125,405.1131896502154,383.25,134.15635866938462,0.435547039000366,0.3500492072260525
TR,1990,26,324.1923076923077,212.20839177200682,28.714285714285715,66.08111898049461,0.6545756538227758,2.30133250180827
RO,2008,8,1348.125,523.2656898200541,496.75,158.12178850493692,0.38814330260180185,0.31831260896816693
HU,2020,9,830.8888888888889,495.3550354151163,345.6666666666667,179.3753048777897,0.5961748219759356,0.5189256650273568
PL,1998,15,1424.1333333333334,545.7534590776664,682.6,390.4134804464181,0.38321795179126467,0.5719506012985908
