geo,target,feature,kind,pearson_r,p_pearson,spearman_r,p_spearman,n
PT,rail_investment_pct_gdp,rail_track_length_km,delta,0.8994205219748612,1.1759418689874696e-07,0.5160059421688631,0.03955746296818892,16
DE,rail_investment_pct_gdp,rail_accidents,delta,0.8988451842348775,0.0003289323668035236,0.788856119776278,0.008869987875396963,9
FR,rail_investment_pct_gdp,rail_freight_tonne_km,delta,-0.8975806277494662,3.916707617993913e-06,-0.24299125653970452,0.43298804886461856,13
DE,rail_investment_pct_gdp,rail_electrified_km,delta,-0.8711074411877886,9.14358635073886e-06,-0.143703168940319,0.6312760952650134,14
NO,rail_investment_pct_gdp,rail_passengers,delta,-0.8480303700078581,0.00041090163863602495,-0.08084317210710312,0.8187452399109744,11
SK,rail_investment_pct_gdp,rail_electrified_km,delta,0.8279336682026497,6.147603991272359e-08,0.3375149115154508,0.10744339741309625,24
NL,rail_investment_pct_gdp,rail_freight_tonnes,delta,-0.8054158226566213,0.0016303746801002684,-0.6579420939003412,0.025606548646705692,11
PT,rail_investment_pct_gdp,rail_network_length_km,delta,0.7985598866424888,7.922729089344871e-05,0.4907034505742645,0.0528515046323375,16
EE,rail_investment_pct_gdp,passenger_modal_split_rail_pct,delta,-0.7741255733435715,0.0003571151454074537,-0.4249370275276274,0.11602740419931346,15
CH,rail_investment_pct_gdp,inflation_pct,delta,-0.771688552464863,0.0037591956683017654,-0.830900493606482,0.0007550605205785476,11
MD,rail_investment_pct_gdp,imports_pct_gdp,delta,0.7577795166630054,0.015207763416112963,0.8010357180082135,0.006973586504638348,9
DE,rail_investment_pct_gdp,homicide_rate,delta,-0.7572850075844236,0.0017475777041714604,-0.4141538973434699,0.16351510950737191,13
MD,rail_investment_pct_gdp,internet_users_pct,delta,-0.7531628759006959,0.0163481586290294,-0.7461336789173088,0.018189464470607094,9
MD,rail_investment_pct_gdp,inflation_pct,delta,0.7419258298106792,0.019353565942501837,0.7260972322597343,0.02416061496488475,9
SE,rail_investment_pct_gdp,rail_high_speed_pkm,delta,0.7296771381868941,0.0008196179433051422,0.3237446212708194,0.22595958972929572,16
NL,rail_investment_pct_gdp,gdp_growth_pct,delta,-0.7236003050482005,0.009640417339438125,-0.8075585754623886,0.001536212951197954,11
NL,rail_investment_pct_gdp,population_total,delta,0.7092113239071303,0.012250622213466839,0.662106471493807,0.024259272361452793,11
NL,rail_investment_pct_gdp,rail_freight_tonne_km,delta,-0.7068123968092334,0.012729940154146467,-0.5806097160766985,0.06061030424186618,11
DE,rail_investment_pct_gdp,rail_fatalities,delta,0.7043346333791044,0.013238784763066464,0.4802386784104802,0.13884649861621318,11
EL,rail_investment_pct_gdp,inflation_pct,delta,-0.7010918940077576,0.051878874478268514,-0.6265851558607105,0.09992016084387356,8
DE,rail_investment_pct_gdp,rail_network_length_km,delta,-0.7005238342348891,0.003977767532277383,0.043509819104539146,0.8851870565568333,14
EE,rail_investment_pct_gdp,material_deprivation_pct,delta,0.686486045786115,0.026026529277403808,0.1916640953774865,0.6076397272132141,10
BG,rail_investment_pct_gdp,imports_pct_gdp,delta,0.6810054099890913,0.008593640556728925,0.32540883164718926,0.28558691547567694,13
RS,rail_investment_pct_gdp,rail_passenger_km,delta,0.6792406166620646,0.06419835461463733,0.5723237080089706,0.14549856727568367,8
NL,rail_investment_pct_gdp,gov_expenditure_pct_gdp,delta,0.676360937846471,0.020016939813670902,0.6992536466340235,0.014326882347515706,11
MD,rail_investment_pct_gdp,exports_pct_gdp,delta,0.6746579540635373,0.04477855620040894,0.6164055411201026,0.07812988717909296,9
DK,rail_investment_pct_gdp,rail_train_km,delta,0.6684202148189076,0.010626493504580507,0.4995424143544135,0.08271781946669648,13
RS,rail_investment_pct_gdp,gdp_growth_pct,delta,0.6610207005558232,0.024605739838146557,0.4737467439243441,0.1453014741468283,11
TR,rail_investment_pct_gdp,rail_train_km,delta,-0.6541202380130088,0.013346880611601624,-0.3032567252628803,0.32211724716354234,13
BE,rail_investment_pct_gdp,rail_freight_tonne_km,delta,0.6540306102949344,0.08023944737633106,-0.24256395874080525,0.5799764312534657,8
