geo,country_code,nuts_level,year,rail_network_length_km,rail_electrified_km,electrification_share
AL0,AL,1,2017,334.0,0.0,0.0
AL0,AL,1,2018,334.0,0.0,0.0
AL0,AL,1,2019,235.0,0.0,0.0
AL01,AL,2,2017,,0.0,
AL01,AL,2,2018,,0.0,
AL01,AL,2,2019,,0.0,
AL02,AL,2,2017,,0.0,
AL02,AL,2,2018,,0.0,
AL02,AL,2,2019,,0.0,
AL03,AL,2,2017,,0.0,
AL03,AL,2,2018,,0.0,
AL03,AL,2,2019,,0.0,
AT1,AT,1,1990,2472.0,,
AT1,AT,1,1991,2472.0,1041.0,0.4211165048543689
AT1,AT,1,1992,2459.0,1042.0,0.42374949166327774
AT1,AT,1,1993,2458.0,1072.0,0.43612693246541906
AT1,AT,1,1994,2464.0,1078.0,0.4375
AT1,AT,1,1995,2472.0,1158.0,0.4684466019417476
AT1,AT,1,1996,2473.0,1159.0,0.46866154468257176
AT1,AT,1,1997,2473.0,1159.0,0.46866154468257176
AT11,AT,2,1990,175.0,,
AT11,AT,2,1991,175.0,32.0,0.18285714285714286
AT11,AT,2,1992,175.0,32.0,0.18285714285714286
AT11,AT,2,1993,174.0,32.0,0.1839080459770115
AT11,AT,2,1994,174.0,32.0,0.1839080459770115
AT11,AT,2,1995,174.0,32.0,0.1839080459770115
AT11,AT,2,1996,174.0,32.0,0.1839080459770115
AT11,AT,2,1997,174.0,32.0,0.1839080459770115
AT12,AT,2,1990,2120.0,,
AT12,AT,2,1991,2120.0,849.0,0.40047169811320754
AT12,AT,2,1992,2107.0,849.0,0.4029425723777883
AT12,AT,2,1993,2107.0,879.0,0.4171808258186996
AT12,AT,2,1994,2112.0,885.0,0.4190340909090909
AT12,AT,2,1995,2118.0,965.0,0.45561850802644005
AT12,AT,2,1996,2118.0,965.0,0.45561850802644005
AT12,AT,2,1997,2118.0,965.0,0.45561850802644005
AT13,AT,2,1990,177.0,,
AT13,AT,2,1991,177.0,160.0,0.903954802259887
AT13,AT,2,1992,177.0,161.0,0.9096045197740112
AT13,AT,2,1993,177.0,161.0,0.9096045197740112
AT13,AT,2,1994,178.0,161.0,0.9044943820224719
AT13,AT,2,1995,180.0,161.0,0.8944444444444445
AT13,AT,2,1996,180.0,161.0,0.8944444444444445
AT13,AT,2,1997,180.0,161.0,0.8944444444444445
AT2,AT,1,1990,1388.0,,
AT2,AT,1,1991,1387.0,904.0,0.6517664023071377
AT2,AT,1,1992,1387.0,904.0,0.6517664023071377
AT2,AT,1,1993,1385.0,902.0,0.6512635379061372
AT2,AT,1,1994,1385.0,902.0,0.6512635379061372
AT2,AT,1,1995,1384.0,900.0,0.6502890173410405
AT2,AT,1,1996,1384.0,901.0,0.6510115606936416
AT2,AT,1,1997,1384.0,901.0,0.6510115606936416
AT21,AT,2,1990,593.0,,
AT21,AT,2,1991,593.0,349.0,0.5885328836424958
AT21,AT,2,1992,593.0,349.0,0.5885328836424958
AT21,AT,2,1993,593.0,349.0,0.5885328836424958
AT21,AT,2,1994,593.0,349.0,0.5885328836424958
AT21,AT,2,1995,593.0,348.0,0.5868465430016864
AT21,AT,2,1996,593.0,348.0,0.5868465430016864
AT21,AT,2,1997,593.0,348.0,0.5868465430016864
AT22,AT,2,1990,795.0,,
AT22,AT,2,1991,794.0,555.0,0.698992443324937
AT22,AT,2,1992,794.0,555.0,0.698992443324937
AT22,AT,2,1993,792.0,553.0,0.6982323232323232
AT22,AT,2,1994,792.0,553.0,0.6982323232323232
AT22,AT,2,1995,791.0,552.0,0.6978508217446271
AT22,AT,2,1996,791.0,552.0,0.6978508217446271
AT22,AT,2,1997,791.0,552.0,0.6978508217446271
AT3,AT,1,1990,1715.0,,
AT3,AT,1,1991,1714.0,1266.0,0.7386231038506418
AT3,AT,1,1992,1708.0,1266.0,0.7412177985948478
AT3,AT,1,1993,1706.0,1266.0,0.7420867526377491
AT3,AT,1,1994,1735.0,1294.0,0.745821325648415
AT3,AT,1,1995,1763.0,1323.0,0.7504254112308565
AT3,AT,1,1996,1764.0,1324.0,0.7505668934240363
AT3,AT,1,1997,1764.0,1324.0,0.7505668934240363
AT31,AT,2,1990,892.0,,
AT31,AT,2,1991,892.0,519.0,0.5818385650224215
AT31,AT,2,1992,886.0,519.0,0.5857787810383747
AT31,AT,2,1993,884.0,519.0,0.5871040723981901
AT31,AT,2,1994,898.0,533.0,0.5935412026726058
AT31,AT,2,1995,912.0,547.0,0.5997807017543859
AT31,AT,2,1996,912.0,547.0,0.5997807017543859
AT31,AT,2,1997,912.0,547.0,0.5997807017543859
AT32,AT,2,1990,307.0,,
AT32,AT,2,1991,306.0,245.0,0.8006535947712419
AT32,AT,2,1992,306.0,245.0,0.8006535947712419
AT32,AT,2,1993,306.0,245.0,0.8006535947712419
AT32,AT,2,1994,306.0,245.0,0.8006535947712419
AT32,AT,2,1995,306.0,245.0,0.8006535947712419
AT32,AT,2,1996,306.0,245.0,0.8006535947712419
AT32,AT,2,1997,306.0,245.0,0.8006535947712419
AT33,AT,2,1990,408.0,,
AT33,AT,2,1991,408.0,394.0,0.9656862745098039
AT33,AT,2,1992,408.0,394.0,0.9656862745098039
AT33,AT,2,1993,408.0,394.0,0.9656862745098039
AT33,AT,2,1994,423.0,408.0,0.9645390070921985
AT33,AT,2,1995,437.0,423.0,0.9679633867276888
AT33,AT,2,1996,437.0,423.0,0.9679633867276888
AT33,AT,2,1997,437.0,423.0,0.9679633867276888
AT34,AT,2,1990,108.0,,
AT34,AT,2,1991,108.0,108.0,1.0
AT34,AT,2,1992,108.0,108.0,1.0
AT34,AT,2,1993,108.0,108.0,1.0
AT34,AT,2,1994,108.0,108.0,1.0
AT34,AT,2,1995,108.0,108.0,1.0
AT34,AT,2,1996,108.0,108.0,1.0
AT34,AT,2,1997,108.0,108.0,1.0
BA0,BA,1,2019,1018.0,749.0,0.7357563850687623
BA0,BA,1,2020,1018.0,749.0,0.7357563850687623
BA0,BA,1,2021,1018.0,748.0,0.7347740667976425
BA0,BA,1,2022,1018.0,748.0,0.7347740667976425
BA0,BA,1,2023,1025.0,755.0,0.7365853658536585
BA0,BA,1,2024,1025.0,755.0,0.7365853658536585
BE1,BE,1,1990,139.0,139.0,1.0
BE1,BE,1,1991,139.0,139.0,1.0
BE1,BE,1,1992,139.0,139.0,1.0
BE1,BE,1,1993,139.0,139.0,1.0
BE1,BE,1,1994,139.0,139.0,1.0
BE1,BE,1,2008,99.0,,
BE10,BE,2,1990,139.0,139.0,1.0
BE10,BE,2,1991,139.0,139.0,1.0
BE10,BE,2,1992,139.0,139.0,1.0
BE10,BE,2,1993,139.0,139.0,1.0
BE10,BE,2,1994,139.0,139.0,1.0
BE10,BE,2,2008,99.0,,
BE2,BE,1,1990,1686.0,1156.0,0.6856465005931198
BE2,BE,1,1991,1698.0,1155.0,0.6802120141342756
BE2,BE,1,1992,1682.0,1159.0,0.6890606420927468
BE2,BE,1,1993,1671.0,1159.0,0.6935966487133453
BE2,BE,1,1994,1632.0,1160.0,0.7107843137254902
BE2,BE,1,2008,1635.0,,
BE21,BE,2,1990,397.0,265.0,0.6675062972292192
BE21,BE,2,1991,397.0,265.0,0.6675062972292192
BE21,BE,2,1992,389.0,265.0,0.6812339331619537
BE21,BE,2,1993,387.0,265.0,0.6847545219638242
BE21,BE,2,1994,387.0,265.0,0.6847545219638242
BE21,BE,2,2008,245.0,,
BE22,BE,2,1990,234.0,106.0,0.452991452991453
BE22,BE,2,1991,241.0,105.0,0.43568464730290457
BE22,BE,2,1992,230.0,106.0,0.4608695652173913
BE22,BE,2,1993,221.0,106.0,0.4796380090497738
BE22,BE,2,1994,221.0,106.0,0.4796380090497738
BE22,BE,2,2008,271.0,,
BE23,BE,2,1990,474.0,301.0,0.6350210970464135
BE23,BE,2,1991,473.0,301.0,0.6363636363636364
BE23,BE,2,1992,474.0,301.0,0.6350210970464135
BE23,BE,2,1993,474.0,301.0,0.6350210970464135
BE23,BE,2,1994,474.0,301.0,0.6350210970464135
BE23,BE,2,2008,499.0,,
BE24,BE,2,1990,281.0,270.0,0.9608540925266904
BE24,BE,2,1991,281.0,270.0,0.9608540925266904
BE24,BE,2,1992,280.0,270.0,0.9642857142857143
BE24,BE,2,1993,280.0,270.0,0.9642857142857143
BE24,BE,2,1994,241.0,271.0,1.1244813278008299
BE24,BE,2,2008,306.0,,
BE25,BE,2,1990,300.0,214.0,0.7133333333333334
BE25,BE,2,1991,306.0,214.0,0.6993464052287581
BE25,BE,2,1992,309.0,217.0,0.7022653721682848
BE25,BE,2,1993,309.0,217.0,0.7022653721682848
BE25,BE,2,1994,309.0,217.0,0.7022653721682848
BE25,BE,2,2008,315.0,,
BE3,BE,1,1990,1654.0,998.0,0.6033857315598549
BE3,BE,1,1991,1628.0,997.0,0.6124078624078624
BE3,BE,1,1992,1611.0,993.0,0.6163873370577281
BE3,BE,1,1993,1600.0,1064.0,0.665
BE3,BE,1,1994,1585.0,1064.0,0.6712933753943218
BE3,BE,1,2008,1843.0,,
BE31,BE,2,1990,121.0,98.0,0.8099173553719008
BE31,BE,2,1991,123.0,98.0,0.7967479674796748
BE31,BE,2,1992,121.0,98.0,0.8099173553719008
BE31,BE,2,1993,121.0,99.0,0.8181818181818182
BE31,BE,2,1994,120.0,98.0,0.8166666666666667
BE31,BE,2,2008,129.0,,
BE32,BE,2,1990,531.0,398.0,0.7495291902071564
BE32,BE,2,1991,515.0,397.0,0.7708737864077669
BE32,BE,2,1992,515.0,398.0,0.7728155339805826
BE32,BE,2,1993,511.0,404.0,0.7906066536203522
BE32,BE,2,1994,503.0,404.0,0.8031809145129225
BE32,BE,2,2008,646.0,,
BE33,BE,2,1990,409.0,231.0,0.5647921760391198
BE33,BE,2,1991,398.0,232.0,0.5829145728643216
BE33,BE,2,1992,396.0,228.0,0.5757575757575758
BE33,BE,2,1993,388.0,259.0,0.6675257731958762
BE33,BE,2,1994,387.0,260.0,0.6718346253229974
BE33,BE,2,2008,462.0,,
